14
1, A, 0, 0, 0, H, 0, 0, 0, 0, O, 0, 0, 0
0, 1, C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, B, B, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, D
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, E
0, 0, 0, 0, 0, 1, G, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 1, J, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, K, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, L, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, M
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, N, N, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, P
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, Q
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
